SKU,Grade,CPQ Price
30026-09,EQ320,440
30095-91,EQ330,895
30129-01,EQ330,685
30129-08,EQ320,480
30133-03,EQ330,795
30136-64,EQ350,310
30151-03,EQ330,1270
30192-12,EQ340,660
30215-24,EQ330,335
30215-S3,EQ330,770
31116-03,EQ330,870
31116-04,EQ350,325
31116-08,EQ330,820
31116-15,EQ320,765
31116-39,EQ350,1150
31116-82,EQ330,970
37026-11,EQ3300,740
37026-15,EQ3300,890
37133-01,EQ3200,1340
30115-52,EQ360,335
30129-08,EQ320,480
30148-35,EQ350,950
30155-01,EQ330,895
30192-08,EQ330,1070
30192-12,EQ340,660
30192-14,EQ340,950
31116-03,EQ330,870
31116-10,EQ330,385
31116-40,EQ330,1070
31116-82,EQ330,970
31116-87,EQ330,1020
31135-50,EQ340,640
31135-50,EQ360,680
31135-52,EQ300,225
31135-52,EQ300,225
31135-52,EQ300,225
30026-11,EQ360,565
30026-12,EQ360,565
30125-02,EQ360,595
30157-40,EQ310,650
31135-50,EQ360,680
31135-52,EQ300,225
30136-16,EQ350,950
30829-00,EQ300,7
30829-00,EQ300,7
31135-49,EQ360,605
31135-50,EQ330,625
31135-50,EQ330,625
31135-52,EQ300,225
31135-52,EQ300,225
31135-53,EQ300,300
31135-53,EQ300,300
31135-56,EQ300,300
31135-56,EQ300,300
30148-01,EQ340,1400
30137-07,EQ330,970
30193-09,EQ350,700
30193-14,EQ350,970
30215-24,EQ330,335
30215-S3,EQ330,770
31135-49,EQ350,585
31135-50,EQ310,600
31135-56,EQ300,300
37095-01,EQ3400,1535
37095-91,EQ3200,1390
37095-S3,EQ3300,1590
37125-02,EQ3300,740
30095-24,EQ330,385
30115-52,EQ340,315
30129-01,EQ310,615
30129-02,EQ310,375
30129-02,EQ320,395
30129-21,EQ330,970
30192-07,EQ340,1100
30136-16,EQ330,870
30136-08,EQ340,1000
30137-16,EQ330,870
30148-01,EQ360,1500
30156-02,EQ360,545
30192-01,EQ340,1300
30137-08,EQ350,1050
31116-S3,EQ320,1040
30192-08,EQ340,1100
31116-S3,EQ330,1070
30192-12,EQ340,660
31116-S3,EQ320,1040
30215-24,EQ330,335
30215-24,EQ330,335
30215-24,EQ330,335
30215-S3,EQ330,770
30215-S3,EQ330,770
30215-S3,EQ330,770
30215-S3,EQ330,770
30215-S3,EQ330,770
30192-07,EQ340,1100
31116-03,EQ320,840
31116-04,EQ330,285
31116-04,EQ320,270
31116-15,EQ330,795
31116-83,EQ330,970
31116-86,EQ330,1020
31116-S3,EQ320,1040
31135-48,EQ360,580
31135-49,EQ330,550
31135-49,EQ330,550
31135-49,EQ310,525
31135-49,EQ320,540
31135-49,EQ350,585
31135-49,EQ360,605
31135-50,EQ350,660
31135-50,EQ360,680
31135-52,EQ300,225
31135-52,EQ300,225
31135-52,EQ300,225
31135-53,EQ300,300
31135-56,EQ300,300
31135-56,EQ300,300
31135-56,EQ300,300
31135-56,EQ300,300
31135-56,EQ300,300
31135-56,EQ300,300
30192-03,EQ340,1250
37125-02,EQ3800,970
30026-11,EQ330,460
30026-12,EQ330,460
30136-08,EQ330,970
30095-S3,EQ330,1020
30125-02,EQ350,575
30192-08,EQ350,1150
30132-01,EQ320,865
30195-91,EQ320,865
30136-15,EQ350,950
30192-08,EQ360,1200
30160-SC,EQ330,795
30192-19,EQ330,970
30829-00,EQ300,7
30193-07,EQ350,1150
31116-07,EQ330,820
31116-15,EQ330,795
31116-94,EQ330,335
31135-49,EQ330,550
31135-49,EQ330,550
31135-49,EQ350,585
31135-49,EQ360,605
31135-49,EQ360,605
31135-49,EQ360,605
31135-50,EQ330,625
31135-50,EQ350,660
31135-50,EQ330,625
31135-50,EQ320,615
31135-50,EQ320,615
31135-50,EQ340,640
31135-52,EQ300,225
31135-52,EQ300,225
31135-52,EQ300,225
31135-52,EQ300,225
31135-53,EQ300,300
31135-53,EQ300,300
31135-53,EQ300,300
31135-53,EQ300,300
31135-56,EQ300,300
31135-56,EQ300,300
31135-56,EQ300,300
31135-56,EQ360,300
36135-52,EQ300,225
30193-08,EQ350,1150
30095-S3,EQ330,1020
30136-08,EQ350,1050
31116-01,EQ330,970
30095-S3,EQ330,1020
30136-07,EQ350,1050
